idname,roottype,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14
2,Lateralroot,0,0,0,0.18388152,1.55973188,2.116104241,2.05096174,1.655405679,1.888374155,2.133916369,1.801039025,2.032775264,2.032775264,2.032775264
2,primaryroot,0,1.24769597,2.58451704,2.562710575,5.05306108,5.65217231,6.39702162,7.3317365,7.1402752,7.2206963,7.54340144,7.3461625,7.3461625,7.3461625
2,sum_root,0,1.24769597,2.58451704,2.746592095,6.61279296,7.768276551,8.44798336,8.987142179,9.028649355,9.354612669,9.344440465,9.378937764,9.378937764,9.378937764
4,Lateralroot,0,0,0,0,0.873677166,5.938032927,9.727636447,10.08201737,12.91424557,13.99904912,9.391843792,14.3356423,10.13750815,11.35578316
4,primaryroot,0.277796085,1.03508766,3.73705902,6.26685583,9.6721358,10.9880591,13.0149322,17.0288822,14.9538799,14.2255685,18.7776956,14.8903113,19.3505283,19.3243769
4,sum_root,0.277796085,1.03508766,3.73705902,6.26685583,10.54581297,16.92609203,22.74256865,27.11089957,27.86812547,28.22461762,28.16953939,29.2259536,29.48803645,30.68016006
5,Lateralroot,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,primaryroot,0.2782902,0.2782902,0.2782902,0.32037175,0.3252606,0.2772797,0.31751305,0.3147259,0.2938482,0.34150425,0.33221748,0.31373948,0.31373948,0.31373948
5,sum_root,0.2782902,0.2782902,0.2782902,0.32037175,0.3252606,0.2772797,0.31751305,0.3147259,0.2938482,0.34150425,0.33221748,0.31373948,0.31373948,0.31373948
6,Lateralroot,0,0,0,0.1302676,0.64378272,0.83312981,0.688368527,0.826221953,2.02505026,2.2654737,5.710794296,8.97304339,11.40725351,11.67744552
6,primaryroot,0.4332457,3.1497771,5.9073612,8.1615717,10.9765282,12.6207309,14.9266425,16.6853168,24.5614037,28.5168504,29.74765,32.1716544,35.615965,37.9189935
6,sum_root,0.4332457,3.1497771,5.9073612,8.2918393,11.62031092,13.45386071,15.61501103,17.51153875,26.58645396,30.7823241,35.4584443,41.14469779,47.02321851,49.59643902
9,Lateralroot,0,0,0.67256417,3.635245107,8.920181518,17.31878821,33.23570399,56.92160218,80.15965575,122.1659104,134.7410027,151.1501988,162.0942086,166.2453424
9,primaryroot,0,4.6108972,12.7771655,16.4702237,20.74084413,25.1006387,30.1212338,38.1354249,36.2537443,32.27354984,40.85537866,48.5966246,59.6378388,64.3717108
9,sum_root,0,4.6108972,13.44972967,20.10546881,29.66102565,42.41942691,63.35693779,95.05702708,116.4134,154.4394603,175.5963814,199.7468234,221.7320474,230.6170532
9,Lateralroot,0,0,0.34036714,1.911109588,4.753198075,6.593440736,13.1152896,18.40862898,25.6308645,28.14989695,28.81888631,37.21366582,28.78073249,36.62923027
9,primaryroot,0,0.7672743,5.98659524,12.4924149,16.900076,20.9547211,27.4156714,31.1754109,33.4699278,37.6435245,41.4375695,52.5983781,41.5618371,32.0972033
9,sum_root,0,0.7672743,6.32696238,14.40352449,21.65327408,27.54816184,40.530961,49.58403988,59.1007923,65.79342145,70.25645581,89.81204392,70.34256959,68.72643357
9,Lateralroot,0,0,0.292588897,3.10714764,6.522826287,23.3295732,29.87733987,48.19160463,71.57310724,92.34137118,115.0230576,140.1093809,152.4650237,160.4868888
9,primaryroot,0,0.37969235,5.37771365,10.5214632,15.9620701,30.3432375,23.295303,27.2677644,29.58439,29.2939258,32.2296666,29.141596,30.1328937,31.6722069
9,sum_root,0,0.37969235,5.670302547,13.62861084,22.48489639,53.6728107,53.17264287,75.45936903,101.1574972,121.635297,147.2527242,169.2509769,182.5979174,192.1590957
11,Lateralroot,0,0.1863376,0.7086895,2.06842483,4.199781677,7.96797452,9.92,11.88070817,14.14,16.40377042,17.11522338,18.8886609,19.291219,18.28268748
11,primaryroot,1.21618377,2.64717445,4.64242947,7.4771232,8.81927507,10.20960507,10.19,10.17095603,10.26,10.3498908,10.39238554,9.357586334,11.43329651,11.36450389
11,sum_root,1.21618377,2.83351205,5.35111897,9.54554803,13.01905675,18.17757959,0,22.0516642,0,26.75366122,27.50760891,28.24624723,30.72451551,29.64719136
12,Lateralroot,0,0.147498505,1.435565714,3.35007456,3.751098398,10.76302603,9.98016293,12.54588807,21.08024066,29.50144763,29.50144763,29.50144763,29.50144763,29.50144763
12,primaryroot,1.98305843,4.29291205,4.68791863,7.34081845,9.42980186,10.57111588,12.99209041,13.7825563,15.36437412,13.305649,13.305649,13.305649,13.305649,13.305649
12,sum_root,1.98305843,4.440410555,6.123484344,10.69089301,13.18090026,21.33414191,22.97225334,26.32844437,36.44461478,42.80709663,42.80709663,42.80709663,42.80709663,42.80709663
15,Lateralroot,0,0,0,0,0,0.32657186,2.91040149,4.713870177,11.86362035,14.62990982,16.77564476,19.30946115,17.51328436,17.26956611
